FC_1	FC_2	IN_REG	COILS	DIS_IN	HO_REG
1	1	0	0	0	0
2	2	512	512	512	512
3	3	1024	768	1024	1024
4	4	1536	896	1536	1536
6	5	2048	960	2048	2048
17	6	2560	992	2560	2560
	15	3072	996	3072	3072
	16	3584	998	3584	3584
	17	4096	999	4096	4096
	22	4608		4608	4608
	23	5120		5120	5120
		5632		5632	5632
		6144		6144	6144
		6656		6656	6656
		7168		7168	7168
		7680		7680	7680
		8192		8192	7936
		8704		8704	7968
		9216		9216	7984
		9728		9728	7992
		10240		10240	7996
		10752		10752	7998
		11264		11264	7999
		11776		11776	
		12288		12288	
		12800		12800	
		13312		13312	
		13824		13824	
		14336		14336	
		14848		14848	
		15360		15360	
		15872		15872	
		15936		16384	
		15968		16896	
		15984		17408	
		15992		17920	
		15996		18432	
		15998		18944	
		15999		19456	
				19968	
				20480	
				20992	
				21504	
				22016	
				22528	
				23040	
				23552	
				24064	
				24576	
				25088	
				25600	
				26112	
				26624	
				27136	
				27648	
				28160	
				28672	
				29184	
				29696	
				30208	
				30720	
				31232	
				31744	
				31872	
				31936	
				31968	
				31984	
				31992	
				31996	
				31998	
				31999	
